start_time,end_time,mean_power_kw,std_power_kw,total_dynamic_energy,k90_bins,k90_ratio,f90_cycles_per_min,period90_min,spectral_entropy,recommended_interval_min
2018-06-01 00:00:00,2018-06-01 04:15:00,0.05992628433126986,0.0871324236080225,0.2684362740759317,2,0.015503875968992248,0.0078125,128.0,0.0758949658969542,51.2
2018-06-01 04:16:00,2018-06-01 08:31:00,1.3637077473958332,1.1093526908054592,52.331053716799836,2,0.015503875968992248,0.0078125,128.0,0.0752092444886495,51.2
2018-06-01 08:32:00,2018-06-01 12:47:00,4.994982682291667,0.4920258746614671,9.47983363608294,1,0.007751937984496124,0.00390625,256.0,0.07792789120235517,60.0
2018-06-01 12:48:00,2018-06-01 17:03:00,3.471988151041667,1.2974745899890787,54.35325835198085,1,0.007751937984496124,0.00390625,256.0,0.06310091384851847,60.0
2018-06-01 17:04:00,2018-06-01 21:19:00,0.17580130644660308,0.21188521603201618,1.2845373315152018,2,0.015503875968992248,0.0078125,128.0,0.11355619800811106,51.2
2018-06-01 21:20:00,2018-06-02 01:35:00,0.00038327480037955106,0.0012561105259893072,0.00011223388755440784,0,0.0,0.0,inf,0.0,60.0
2018-06-02 01:36:00,2018-06-02 05:51:00,0.18302659869585128,0.13185367850822477,0.8987445028175639,2,0.015503875968992248,0.0078125,128.0,0.18119382144868304,51.2
2018-06-02 05:52:00,2018-06-02 10:07:00,2.859941276041667,1.5143988498939693,82.90360780678182,1,0.007751937984496124,0.00390625,256.0,0.053890543763189226,60.0
2018-06-02 10:08:00,2018-06-02 14:23:00,5.202413151041666,0.27780269216339615,3.254794371315105,1,0.007751937984496124,0.00390625,256.0,0.09212391257527046,60.0
2018-06-02 14:24:00,2018-06-02 18:39:00,1.9106196491919738,1.4465411649096618,90.39370451050773,1,0.007751937984496124,0.00390625,256.0,0.06362077804195247,60.0
2018-06-02 18:40:00,2018-06-02 22:55:00,0.029489788986596818,0.05401203263237986,0.06454739469528988,0,0.0,0.0,inf,0.0,60.0
2018-06-02 22:56:00,2018-06-03 03:11:00,0.011176122464106802,0.023380555159158264,0.007804206195439693,0,0.0,0.0,inf,0.0,60.0
2018-06-03 03:12:00,2018-06-03 07:27:00,0.6362654634131848,0.5680763885515488,6.707734409124122,1,0.007751937984496124,0.00390625,256.0,0.048333963725535056,60.0
2018-06-03 07:28:00,2018-06-03 11:43:00,4.410013541666666,0.9431026047147513,29.76849550388355,1,0.007751937984496124,0.00390625,256.0,0.05398688006713426,60.0
2018-06-03 11:44:00,2018-06-03 15:59:00,4.486191145833334,0.9039431145775103,28.540230661531247,1,0.007751937984496124,0.00390625,256.0,0.06028485057308982,60.0
2018-06-03 16:00:00,2018-06-03 20:15:00,0.601016398072412,0.6782453287681448,12.52698637770129,1,0.007751937984496124,0.00390625,256.0,0.07180747183467613,60.0
2018-06-03 20:16:00,2018-06-04 00:31:00,0.00021187832605754355,0.0007823058593252187,7.910640222617949e-05,0,0.0,0.0,inf,0.0,60.0
2018-06-04 00:32:00,2018-06-04 04:47:00,0.08227936600028479,0.11346670525865171,0.43757914804183523,2,0.015503875968992248,0.0078125,128.0,0.09457470106327388,51.2
2018-06-04 04:48:00,2018-06-04 09:03:00,1.8844607421875001,1.333196652185695,81.80291567244282,2,0.015503875968992248,0.0078125,128.0,0.07490512843187783,51.2
2018-06-04 09:04:00,2018-06-04 13:19:00,4.952476822916667,0.9713861839098535,113.56899445539341,60,0.46511627906976744,0.328125,3.0476190476190474,0.8067613907577328,1.2190476190476192
2018-06-04 13:20:00,2018-06-04 17:35:00,3.0395583333333334,1.5281301428097396,106.34439762593365,9,0.06976744186046512,0.03515625,28.444444444444443,0.32305898596589816,11.377777777777778
2018-06-04 17:36:00,2018-06-04 21:51:00,0.10565506340578454,0.12137503235352438,0.741398147916692,2,0.015503875968992248,0.0078125,128.0,0.09964084432399505,51.2
2018-06-04 21:52:00,2018-06-05 02:07:00,0.0007344271326477053,0.0022392337128910385,2.9036086124840232e-05,0,0.0,0.0,inf,0.0,60.0
2018-06-05 02:08:00,2018-06-05 06:23:00,0.2546139495869416,0.1594338029849153,0.475604739398841,5,0.03875968992248062,0.01953125,51.2,0.24710650438622456,20.48
2018-06-05 06:24:00,2018-06-05 10:39:00,3.5209847005208332,1.3933536961244104,68.16949786163502,1,0.007751937984496124,0.00390625,256.0,0.08709423607145174,60.0
2018-06-05 10:40:00,2018-06-05 14:55:00,5.356461848958333,0.4139203736378131,8.759255809993114,13,0.10077519379844961,0.11328125,8.827586206896552,0.2754222988581962,3.531034482758621
2018-06-05 14:56:00,2018-06-05 19:11:00,1.4927303682346293,1.3251856516513452,79.75494215425971,2,0.015503875968992248,0.0078125,128.0,0.07043239759236665,51.2
2018-06-05 19:12:00,2018-06-05 23:27:00,0.01190109025384499,0.028361324965764555,0.00903672933708022,0,0.0,0.0,inf,0.0,60.0
2018-06-05 23:28:00,2018-06-06 03:43:00,0.031114841240361436,0.05435010246912522,0.0727660490136806,0,0.0,0.0,inf,0.0,60.0
2018-06-06 03:44:00,2018-06-06 07:59:00,0.965699206871812,0.8926323199916211,34.58899628513084,2,0.015503875968992248,0.0078125,128.0,0.11467012986110868,51.2
2018-06-06 08:00:00,2018-06-06 12:15:00,5.109248242187499,0.7769623373826449,22.48971300198672,1,0.007751937984496124,0.00390625,256.0,0.06315825122042229,60.0
2018-06-06 12:16:00,2018-06-06 16:31:00,4.363913216145834,1.228192079962311,48.89758847205566,1,0.007751937984496124,0.00390625,256.0,0.0499752396578344,60.0
2018-06-06 16:32:00,2018-06-06 20:47:00,0.34880266115214537,0.4234592621870849,2.629447710441827,1,0.007751937984496124,0.00390625,256.0,0.056202432940343355,60.0
2018-06-06 20:48:00,2018-06-07 01:03:00,0.0,0.0,0.0,0,0.0,0.0,inf,0.0,60.0
2018-06-07 01:04:00,2018-06-07 05:19:00,0.16417158044377858,0.1578932007624371,1.1658966611496857,2,0.015503875968992248,0.0078125,128.0,0.07111002600726957,51.2
2018-06-07 05:20:00,2018-06-07 09:35:00,2.3418990634401133,1.5846600848243906,105.76794275567603,1,0.007751937984496124,0.00390625,256.0,0.060149967992359214,60.0
2018-06-07 09:36:00,2018-06-07 13:51:00,5.567293555678429,0.27555376560107,4.297155694218686,2,0.015503875968992248,0.0078125,128.0,0.12042712654051614,51.2
2018-06-07 13:52:00,2018-06-07 18:07:00,2.548503650166915,1.5940756697258769,94.73297121564005,1,0.007751937984496124,0.00390625,256.0,0.05384730711194063,60.0
2018-06-07 18:08:00,2018-06-07 22:23:00,0.0645211948241018,0.09579734736503191,0.3279193297243333,2,0.015503875968992248,0.0078125,128.0,0.08305829208566524,51.2
2018-06-07 22:24:00,2018-06-08 02:39:00,0.002755173697509941,0.008308380990033889,0.00040829775051139507,0,0.0,0.0,inf,0.0,60.0
2018-06-08 02:40:00,2018-06-08 06:55:00,0.398818797109738,0.3070710650275206,1.1476668646659085,1,0.007751937984496124,0.00390625,256.0,0.08691089544435808,60.0
2018-06-08 06:56:00,2018-06-08 11:11:00,3.9971018659671755,1.2254647831122312,50.83466331009619,1,0.007751937984496124,0.00390625,256.0,0.055107331242147534,60.0
2018-06-08 11:12:00,2018-06-08 15:27:00,4.969004817708333,0.7219753374325915,18.19473441103898,1,0.007751937984496124,0.00390625,256.0,0.08786178549042681,60.0
